"","molecular_formula","C","H","O","N","P","S","AImod","NOSC","GFE","HC","OC","El","Class1","Class2","Class3"
"C22 H29 O21 N3 S1","C22 H29 O21 N3 S1",22,29,21,3,0,1,-0.6,1.0909,29.20935,1.32,0.95,"CHONS","Other","unsaturated/lignin","unsaturated/lignin"
"C25 H37 O20 N1 S1","C25 H37 O20 N1 S1",25,37,20,1,0,1,-0.3077,0.32,51.18,1.48,0.8,"CHONS","Carbohydrate","unsaturated/lignin","unsaturated/lignin"
"C37 H56 O12","C37 H56 O12",37,56,12,0,0,0,0.129,-0.8649,84.94965,1.51,0.32,"CHO","Protein","aliphatic","aliphatic"
"C33 H37 O16 N1","C33 H37 O16 N1",33,37,16,1,0,0,0.2917,-0.0606,62.0271,1.12,0.48,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C33 H38 O16 13C1","C33 H38 O16 13C1",33,38,16,0,0,0,0.28,-0.1818,65.4813,1.15,0.48,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C34 H42 O15 13C1","C34 H42 O15 13C1",34,42,15,0,0,0,0.2453,-0.3529,70.35765,1.24,0.44,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C37 H52 O13","C37 H52 O13",37,52,13,0,0,0,0.1803,-0.7027,80.32695,1.41,0.35,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C35 H60 O14","C35 H60 O14",35,60,14,0,0,0,-0.0357,-0.9143,86.35755,1.71,0.4,"CHO","Protein","aliphatic","aliphatic"
"C32 H35 O17 N1","C32 H35 O17 N1",32,35,17,1,0,0,0.2889,0.0625,58.51875,1.09,0.53,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H36 O17 13C1","C32 H36 O17 13C1",32,36,17,0,0,0,0.2766,-0.0625,62.08125,1.12,0.53,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C34 H44 O15 13C1","C34 H44 O15 13C1",34,44,15,0,0,0,0.2075,-0.4118,72.0363,1.29,0.44,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H38 O17 13C1","C32 H38 O17 13C1",32,38,17,0,0,0,0.234,-0.125,63.8625,1.19,0.53,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C33 H42 O16 13C1","C33 H42 O16 13C1",33,42,16,0,0,0,0.2,-0.303,68.9355,1.27,0.48,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H49 O17 N1","C31 H49 O17 N1",31,49,17,1,0,0,-0.0698,-0.3871,71.33235,1.58,0.55,"CHON","Protein","aliphatic","aliphatic+N"
"C38 H64 O11","C38 H64 O11",38,64,11,0,0,0,0.0462,-1.1053,91.80105,1.68,0.29,"CHO","Lipid","aliphatic","aliphatic"
"C36 H52 O14","C36 H52 O14",36,52,14,0,0,0,0.1379,-0.6667,79.30095,1.44,0.39,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C38 H60 O12","C38 H60 O12",38,60,12,0,0,0,0.0938,-0.9474,87.3009,1.58,0.32,"CHO","Protein","aliphatic","aliphatic"
"C32 H39 O17 N1","C32 H39 O17 N1",32,39,17,1,0,0,0.2,-0.0625,62.08125,1.22,0.53,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H40 O17 13C1","C32 H40 O17 13C1",32,40,17,0,0,0,0.1915,-0.1875,65.64375,1.25,0.53,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C33 H44 O16 13C1","C33 H44 O16 13C1",33,44,16,0,0,0,0.16,-0.3636,70.6626,1.33,0.48,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C33 H26 O18","C33 H26 O18",33,26,18,0,0,0,0.5,0.303,51.6645,0.79,0.55,"CHO","Cond Hydrocarbon","unsaturated/lignin","unsaturated/lignin"
"C30 H30 O20","C30 H30 O20",30,30,20,0,0,0,0.3,0.3333,50.80095,1,0.67,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C34 H30 O17","C34 H30 O17",34,30,17,0,0,0,0.451,0.1176,56.9484,0.88,0.5,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H25 O18 N1","C32 H25 O18 N1",32,25,18,1,0,0,0.5,0.4375,47.83125,0.78,0.56,"CHON","Cond Hydrocarbon","unsaturated/lignin","unsaturated/lignin"
"C23 H38 O22 N1 P1","C23 H38 O22 N1 P1",23,38,22,1,1,0,-0.7,0.1739,55.34385,1.65,0.96,"CHONP","Carbohydrate","aliphatic","aliphatic+N"
"C36 H42 O20","C36 H42 O20",36,42,20,0,0,0,0.2308,-0.0556,61.8846,1.17,0.56,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H38 O18 13C1","C31 H38 O18 13C1",31,38,18,0,0,0,0.1818,-0.0645,62.13825,1.23,0.58,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H24 O19","C32 H24 O19",32,24,19,0,0,0,0.5111,0.4375,47.83125,0.75,0.59,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C38 H52 O18","C38 H52 O18",38,52,18,0,0,0,0.1379,-0.4211,72.30135,1.37,0.47,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C37 H48 O13","C37 H48 O13",37,48,13,0,0,0,0.2459,-0.5946,77.2461,1.3,0.35,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C39 H58 O17","C39 H58 O17",39,58,17,0,0,0,0.082,-0.6154,77.8389,1.49,0.44,"CHO","Protein","unsaturated/lignin","unsaturated/lignin"
"C34 H40 O15 13C1","C34 H40 O15 13C1",34,40,15,0,0,0,0.283,-0.2941,68.68185,1.18,0.44,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H47 O16 N1","C32 H47 O16 N1",32,47,16,1,0,0,0.0435,-0.375,70.9875,1.47,0.5,"CHON","Protein","unsaturated/lignin","unsaturated/lignin"
"C32 H26 O19","C32 H26 O19",32,26,19,0,0,0,0.4667,0.375,49.6125,0.81,0.59,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C36 H42 O15","C36 H42 O15",36,42,15,0,0,0,0.2982,-0.3333,69.79905,1.17,0.42,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C38 H50 O13","C38 H50 O13",38,50,13,0,0,0,0.2381,-0.6316,78.3006,1.32,0.34,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C38 H66 O12","C38 H66 O12",38,66,12,0,0,0,0,-1.1053,91.80105,1.74,0.32,"CHO","Protein","aliphatic","aliphatic"
"C32 H29 O16 N1 S1","C32 H29 O16 N1 S1",32,29,16,1,0,1,0.4091,0.25,53.175,0.91,0.5,"CHONS","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H28 O19","C32 H28 O19",32,28,19,0,0,0,0.4222,0.3125,51.39375,0.88,0.59,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H44 O18","C32 H44 O18",32,44,18,0,0,0,0.087,-0.25,67.425,1.38,0.56,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C37 H48 O14","C37 H48 O14",37,48,14,0,0,0,0.2333,-0.5405,75.70425,1.3,0.38,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C34 H52 O16","C34 H52 O16",34,52,16,0,0,0,0.0385,-0.5882,77.0637,1.53,0.47,"CHO","Protein","aliphatic","aliphatic"
"C37 H64 O13","C37 H64 O13",37,64,13,0,0,0,-0.0164,-1.027,89.5695,1.73,0.35,"CHO","Protein","aliphatic","aliphatic"
"C33 H51 O16 N1","C33 H51 O16 N1",33,51,16,1,0,0,0,-0.4848,74.1168,1.55,0.48,"CHON","Protein","aliphatic","aliphatic+N"
"C31 H26 O20","C31 H26 O20",31,26,20,0,0,0,0.4286,0.4516,47.4294,0.84,0.65,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C37 H50 O14","C37 H50 O14",37,50,14,0,0,0,0.2,-0.5946,77.2461,1.35,0.38,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C38 H54 O13","C38 H54 O13",38,54,13,0,0,0,0.1746,-0.7368,81.2988,1.42,0.34,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C33 H38 O17 13C1","C33 H38 O17 13C1",33,38,17,0,0,0,0.2653,-0.1212,63.7542,1.15,0.52,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C34 H42 O16 13C1","C34 H42 O16 13C1",34,42,16,0,0,0,0.2308,-0.2941,68.68185,1.24,0.47,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C33 H53 O16 N1","C33 H53 O16 N1",33,53,16,1,0,0,-0.0417,-0.5455,75.84675,1.61,0.48,"CHON","Protein","aliphatic","aliphatic+N"
"C34 H57 O15 N1","C34 H57 O15 N1",34,57,15,1,0,0,-0.0588,-0.7059,80.41815,1.68,0.44,"CHON","Protein","aliphatic","aliphatic+N"
"C32 H32 O19","C32 H32 O19",32,32,19,0,0,0,0.3333,0.1875,54.95625,1,0.59,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C37 H52 O14","C37 H52 O14",37,52,14,0,0,0,0.1667,-0.6486,78.7851,1.41,0.38,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C34 H44 O16 13C1","C34 H44 O16 13C1",34,44,16,0,0,0,0.1923,-0.3529,70.35765,1.29,0.47,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H51 O17 N1","C32 H51 O17 N1",32,51,17,1,0,0,-0.0667,-0.4375,72.76875,1.59,0.53,"CHON","Protein","aliphatic","aliphatic+N"
"C31 H30 O20","C31 H30 O20",31,30,20,0,0,0,0.3333,0.3226,51.1059,0.97,0.65,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C35 H30 O17","C35 H30 O17",35,30,17,0,0,0,0.4717,0.1143,57.04245,0.86,0.49,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C36 H50 O15","C36 H50 O15",36,50,15,0,0,0,0.1579,-0.5556,76.1346,1.39,0.42,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C37 H54 O14","C37 H54 O14",37,54,14,0,0,0,0.1333,-0.7027,80.32695,1.46,0.38,"CHO","Protein","unsaturated/lignin","unsaturated/lignin"
"C32 H38 O18 13C1","C32 H38 O18 13C1",32,38,18,0,0,0,0.2174,-0.0625,62.08125,1.19,0.56,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C30 H28 O21","C30 H28 O21",30,28,21,0,0,0,0.3333,0.4667,46.99905,0.93,0.7,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C34 H28 O18","C34 H28 O18",34,28,18,0,0,0,0.48,0.2353,53.59395,0.82,0.53,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C37 H56 O14","C37 H56 O14",37,56,14,0,0,0,0.1,-0.7568,81.8688,1.51,0.38,"CHO","Protein","aliphatic","aliphatic"
"C32 H42 O17 13C1","C32 H42 O17 13C1",32,42,17,0,0,0,0.1489,-0.25,67.425,1.31,0.53,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C39 H64 O12","C39 H64 O12",39,64,12,0,0,0,0.0606,-1.0256,89.5296,1.64,0.31,"CHO","Protein","aliphatic","aliphatic"
"C32 H40 O18 13C1","C32 H40 O18 13C1",32,40,18,0,0,0,0.1739,-0.125,63.8625,1.25,0.56,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C33 H44 O17 13C1","C33 H44 O17 13C1",33,44,17,0,0,0,0.1429,-0.303,68.9355,1.33,0.52,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C34 H30 O18","C34 H30 O18",34,30,18,0,0,0,0.44,0.1765,55.26975,0.88,0.53,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H38 O19","C32 H38 O19",32,38,19,0,0,0,0.2,0,60.3,1.19,0.59,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C36 H38 O16","C36 H38 O16",36,38,16,0,0,0,0.3571,-0.1667,65.05095,1.06,0.44,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C37 H42 O15","C37 H42 O15",37,42,15,0,0,0,0.322,-0.3243,69.54255,1.14,0.41,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C34 H46 O17","C34 H46 O17",34,46,17,0,0,0,0.1373,-0.3529,70.35765,1.35,0.5,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C35 H50 O16","C35 H50 O16",35,50,16,0,0,0,0.1111,-0.5143,74.95755,1.43,0.46,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C38 H62 O13","C38 H62 O13",38,62,13,0,0,0,0.0476,-0.9474,87.3009,1.63,0.34,"CHO","Protein","aliphatic","aliphatic"
"C31 H38 O15 N1 P1 S1","C31 H38 O15 N1 P1 S1",31,38,15,1,1,1,0.1707,-0.2581,67.65585,1.23,0.48,"CHONPS","Lignin","unsaturated/lignin","unsaturated/lignin"
"C33 H28 O19","C33 H28 O19",33,28,19,0,0,0,0.4468,0.303,51.6645,0.85,0.58,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C35 H36 O17","C35 H36 O17",35,36,17,0,0,0,0.3585,-0.0571,61.92735,1.03,0.49,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C34 H48 O17","C34 H48 O17",34,48,17,0,0,0,0.098,-0.4118,72.0363,1.41,0.5,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H25 O19 N1","C31 H25 O19 N1",31,25,19,1,0,0,0.4634,0.5161,45.59115,0.81,0.61,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H26 O20","C32 H26 O20",32,26,20,0,0,0,0.4545,0.4375,47.83125,0.81,0.62,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C33 H46 O18","C33 H46 O18",33,46,18,0,0,0,0.0833,-0.303,68.9355,1.39,0.55,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C37 H46 O15","C37 H46 O15",37,46,15,0,0,0,0.2542,-0.4324,72.6234,1.24,0.41,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C34 H50 O17","C34 H50 O17",34,50,17,0,0,0,0.0588,-0.4706,73.7121,1.47,0.5,"CHO","Protein","unsaturated/lignin","unsaturated/lignin"
"C38 H50 O14","C38 H50 O14",38,50,14,0,0,0,0.2258,-0.5789,76.79865,1.32,0.37,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C35 H54 O16","C35 H54 O16",35,54,16,0,0,0,0.037,-0.6286,78.2151,1.54,0.46,"CHO","Protein","aliphatic","aliphatic"
"C38 H52 O13","C38 H52 O13",38,52,13,0,0,0,0.2063,-0.6842,79.7997,1.37,0.34,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C36 H61 O14 N1","C36 H61 O14 N1",36,61,14,1,0,0,-0.0357,-0.8333,84.04905,1.69,0.39,"CHON","Protein","aliphatic","aliphatic+N"
"C38 H52 O14","C38 H52 O14",38,52,14,0,0,0,0.1935,-0.6316,78.3006,1.37,0.37,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C36 H60 O15","C36 H60 O15",36,60,15,0,0,0,-0.0175,-0.8333,84.04905,1.67,0.42,"CHO","Protein","aliphatic","aliphatic"
"C35 H59 O15 N1","C35 H59 O15 N1",35,59,15,1,0,0,-0.0566,-0.7429,81.47265,1.69,0.43,"CHON","Protein","aliphatic","aliphatic+N"
"C29 H6 O17 N1 P1 S2","C29 H6 O17 N1 P1 S2",29,6,17,1,1,2,0.9394,1.0345,30.81675,0.21,0.59,"CHONPS","Other","condensed aromatic","condensed aromatic"
"C21 H42 O19 N3 P1 S2","C21 H42 O19 N3 P1 S2",21,42,19,3,1,2,-2.2727,0.1905,54.87075,2,0.9,"CHONPS","Carbohydrate","aliphatic","carbohydrate"
"C32 H32 O20","C32 H32 O20",32,32,20,0,0,0,0.3182,0.25,53.175,1,0.62,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C33 H36 O19","C33 H36 O19",33,36,19,0,0,0,0.2766,0.0606,58.5729,1.09,0.58,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C38 H56 O14","C38 H56 O14",38,56,14,0,0,0,0.129,-0.7368,81.2988,1.47,0.37,"CHO","Protein","unsaturated/lignin","unsaturated/lignin"
"C31 H30 O21","C31 H30 O21",31,30,21,0,0,0,0.3171,0.3871,49.26765,0.97,0.68,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C35 H30 O18","C35 H30 O18",35,30,18,0,0,0,0.4615,0.1714,55.4151,0.86,0.51,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C33 H38 O19","C33 H38 O19",33,38,19,0,0,0,0.234,0,60.3,1.15,0.58,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C36 H50 O16","C36 H50 O16",36,50,16,0,0,0,0.1429,-0.5,74.55,1.39,0.44,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C37 H54 O15","C37 H54 O15",37,54,15,0,0,0,0.1186,-0.6486,78.7851,1.46,0.41,"CHO","Protein","unsaturated/lignin","unsaturated/lignin"
"C38 H58 O14","C38 H58 O14",38,58,14,0,0,0,0.0968,-0.7895,82.80075,1.53,0.37,"CHO","Protein","aliphatic","aliphatic"
"C39 H62 O13","C39 H62 O13",39,62,13,0,0,0,0.0769,-0.9231,86.60835,1.59,0.33,"CHO","Protein","aliphatic","aliphatic"
"C40 H66 O12","C40 H66 O12",40,66,12,0,0,0,0.0588,-1.05,90.225,1.65,0.3,"CHO","Lipid","aliphatic","aliphatic"
"C31 H37 O16 N3 S1","C31 H37 O16 N3 S1",31,37,16,3,0,1,0.1579,0.1935,54.78525,1.19,0.52,"CHONS","Lignin","unsaturated/lignin","unsaturated/lignin"
"C33 H42 O17 13C1","C33 H42 O17 13C1",33,42,17,0,0,0,0.1837,-0.2424,67.2084,1.27,0.52,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C34 H28 O19","C34 H28 O19",34,28,19,0,0,0,0.4694,0.2941,51.91815,0.82,0.56,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C38 H44 O15","C38 H44 O15",38,44,15,0,0,0,0.3115,-0.3684,70.7994,1.16,0.39,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C35 H48 O17","C35 H48 O17",35,48,17,0,0,0,0.1321,-0.4,71.7,1.37,0.49,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C36 H52 O16","C36 H52 O16",36,52,16,0,0,0,0.1071,-0.5556,76.1346,1.44,0.44,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C37 H56 O15","C37 H56 O15",37,56,15,0,0,0,0.0847,-0.7027,80.32695,1.51,0.41,"CHO","Protein","aliphatic","aliphatic"
"C39 H64 O13","C39 H64 O13",39,64,13,0,0,0,0.0462,-0.9744,88.0704,1.64,0.33,"CHO","Protein","aliphatic","aliphatic"
"C31 H34 O21","C31 H34 O21",31,34,21,0,0,0,0.2195,0.2581,52.94415,1.1,0.68,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C35 H34 O18","C35 H34 O18",35,34,18,0,0,0,0.3846,0.0571,58.67265,0.97,0.51,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H38 O20","C32 H38 O20",32,38,20,0,0,0,0.1818,0.0625,58.51875,1.19,0.62,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C38 H46 O15","C38 H46 O15",38,46,15,0,0,0,0.2787,-0.4211,72.30135,1.21,0.39,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C36 H54 O16","C36 H54 O16",36,54,16,0,0,0,0.0714,-0.6111,77.71635,1.5,0.44,"CHO","Protein","aliphatic","aliphatic"
"C37 H58 O15","C37 H58 O15",37,58,15,0,0,0,0.0508,-0.7568,81.8688,1.57,0.41,"CHO","Protein","aliphatic","aliphatic"
"C33 H62 O11 N1 P1 S2","C33 H62 O11 N1 P1 S2",33,62,11,1,1,2,-0.234,-1.1515,93.11775,1.88,0.33,"CHONPS","Protein","aliphatic","aliphatic+N"
"C36 H57 O15 N1","C36 H57 O15 N1",36,57,15,1,0,0,0.0182,-0.6667,79.30095,1.58,0.42,"CHON","Protein","aliphatic","aliphatic+N"
"C38 H48 O15","C38 H48 O15",38,48,15,0,0,0,0.2459,-0.4737,73.80045,1.26,0.39,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C39 H52 O14","C39 H52 O14",39,52,14,0,0,0,0.2188,-0.6154,77.8389,1.33,0.36,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C38 H64 O14","C38 H64 O14",38,64,14,0,0,0,0,-0.9474,87.3009,1.68,0.37,"CHO","Protein","aliphatic","aliphatic"
"C36 H58 O16","C36 H58 O16",36,58,16,0,0,0,0,-0.7222,80.8827,1.61,0.44,"CHO","Protein","aliphatic","aliphatic"
"C31 H42 O15 N1 P1 S1","C31 H42 O15 N1 P1 S1",31,42,15,1,1,1,0.0732,-0.3871,71.33235,1.35,0.48,"CHONPS","Lignin","unsaturated/lignin","unsaturated/lignin"
"C36 H61 O15 N1","C36 H61 O15 N1",36,61,15,1,0,0,-0.0545,-0.7778,82.4673,1.69,0.42,"CHON","Protein","aliphatic","aliphatic+N"
"C47 H89 O5 N1","C47 H89 O5 N1",47,89,5,1,0,0,0.0115,-1.617,106.3845,1.89,0.11,"CHON","Lipid","aliphatic","aliphatic+N"
"C33 H32 O20","C33 H32 O20",33,32,20,0,0,0,0.3478,0.2424,53.3916,0.97,0.61,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C45 H49 O8 N1","C45 H49 O8 N1",45,49,8,1,0,0,0.425,-0.6667,79.30095,1.09,0.18,"CHON","Other","unsaturated/lignin","unsaturated/lignin"
"C38 H52 O15","C38 H52 O15",38,52,15,0,0,0,0.1803,-0.5789,76.79865,1.37,0.39,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C39 H56 O14","C39 H56 O14",39,56,14,0,0,0,0.1562,-0.7179,80.76015,1.44,0.36,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H30 O21","C32 H30 O21",32,30,21,0,0,0,0.3488,0.375,49.6125,0.94,0.66,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C39 H56 O13","C39 H56 O13",39,56,13,0,0,0,0.1692,-0.7692,82.2222,1.44,0.33,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C38 H54 O15","C38 H54 O15",38,54,15,0,0,0,0.1475,-0.6316,78.3006,1.42,0.39,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C38 H54 O14","C38 H54 O14",38,54,14,0,0,0,0.1613,-0.6842,79.7997,1.42,0.37,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C39 H29 O14 N1","C39 H29 O14 N1",39,29,14,1,0,0,0.5806,0.0513,58.83795,0.74,0.36,"CHON","Cond Hydrocarbon","aromatic","aromatic"
"C37 H52 O16","C37 H52 O16",37,52,16,0,0,0,0.1379,-0.5405,75.70425,1.41,0.43,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C38 H56 O15","C38 H56 O15",38,56,15,0,0,0,0.1148,-0.6842,79.7997,1.47,0.39,"CHO","Protein","unsaturated/lignin","unsaturated/lignin"
"C39 H60 O14","C39 H60 O14",39,60,14,0,0,0,0.0938,-0.8205,83.68425,1.54,0.36,"CHO","Protein","aliphatic","aliphatic"
"C40 H64 O13","C40 H64 O13",40,64,13,0,0,0,0.0746,-0.95,87.375,1.6,0.32,"CHO","Protein","aliphatic","aliphatic"
"C38 H59 O14 N1","C38 H59 O14 N1",38,59,14,1,0,0,0.0667,-0.7368,81.2988,1.55,0.37,"CHON","Protein","aliphatic","aliphatic+N"
"C34 H57 O16 N1","C34 H57 O16 N1",34,57,16,1,0,0,-0.08,-0.6471,78.74235,1.68,0.47,"CHON","Protein","aliphatic","aliphatic+N"
"C35 H30 O19","C35 H30 O19",35,30,19,0,0,0,0.451,0.2286,53.7849,0.86,0.54,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C36 H34 O18","C36 H34 O18",36,34,18,0,0,0,0.4074,0.0556,58.7154,0.94,0.5,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C33 H38 O20","C33 H38 O20",33,38,20,0,0,0,0.2174,0.0606,58.5729,1.15,0.61,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C37 H38 O17","C37 H38 O17",37,38,17,0,0,0,0.3684,-0.1081,63.38085,1.03,0.46,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C35 H46 O18","C35 H46 O18",35,46,18,0,0,0,0.1538,-0.2857,68.44245,1.31,0.51,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C36 H50 O17","C36 H50 O17",36,50,17,0,0,0,0.1273,-0.4444,72.9654,1.39,0.47,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C37 H54 O16","C37 H54 O16",37,54,16,0,0,0,0.1034,-0.5946,77.2461,1.46,0.43,"CHO","Protein","unsaturated/lignin","unsaturated/lignin"
"C38 H58 O15","C38 H58 O15",38,58,15,0,0,0,0.082,-0.7368,81.2988,1.53,0.39,"CHO","Protein","aliphatic","aliphatic"
"C40 H66 O13","C40 H66 O13",40,66,13,0,0,0,0.0448,-1,88.8,1.65,0.32,"CHO","Protein","aliphatic","aliphatic"
"C26 H45 O20 N1 S2","C26 H45 O20 N1 S2",26,45,20,1,0,2,-0.6154,0.0769,58.10835,1.73,0.77,"CHONS","Carbohydrate","aliphatic","aliphatic+N"
"C34 H44 O17 13C1","C34 H44 O17 13C1",34,44,17,0,0,0,0.1765,-0.2941,68.68185,1.29,0.5,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C36 H36 O18","C36 H36 O18",36,36,18,0,0,0,0.3704,0,60.3,1,0.5,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C37 H40 O17","C37 H40 O17",37,40,17,0,0,0,0.3333,-0.1622,64.9227,1.08,0.46,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C34 H44 O19","C34 H44 O19",34,44,19,0,0,0,0.1429,-0.1765,65.33025,1.29,0.56,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C34 H26 O19","C34 H26 O19",34,26,19,0,0,0,0.5102,0.3529,50.24235,0.76,0.56,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C36 H55 O16 N1","C36 H55 O16 N1",36,55,16,1,0,0,0.037,-0.5556,76.1346,1.53,0.44,"CHON","Protein","aliphatic","aliphatic+N"
"C37 H59 O15 N1","C37 H59 O15 N1",37,59,15,1,0,0,0.0175,-0.7027,80.32695,1.59,0.41,"CHON","Protein","aliphatic","aliphatic+N"
"C34 H30 O20","C34 H30 O20",34,30,20,0,0,0,0.4167,0.2941,51.91815,0.88,0.59,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C39 H50 O15","C39 H50 O15",39,50,15,0,0,0,0.2381,-0.5128,74.9148,1.28,0.38,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C30 H54 O15 N3 P1 S1","C30 H54 O15 N3 P1 S1",30,54,15,3,1,1,-0.3714,-0.6,77.4,1.8,0.5,"CHONPS","Protein","aliphatic","aliphatic+N"
"C37 H61 O15 N1","C37 H61 O15 N1",37,61,15,1,0,0,-0.0175,-0.7568,81.8688,1.65,0.41,"CHON","Protein","aliphatic","aliphatic+N"
